filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
set_2_0001.jpg,118811,"{}",10,0,"{""name"":""rect"",""x"":1062,""y"":607,""width"":194,""height"":240}","{}"
set_2_0001.jpg,118811,"{}",10,1,"{""name"":""rect"",""x"":1184,""y"":818,""width"":201,""height"":250}","{}"
set_2_0001.jpg,118811,"{}",10,2,"{""name"":""rect"",""x"":975,""y"":924,""width"":221,""height"":147}","{}"
set_2_0001.jpg,118811,"{}",10,3,"{""name"":""rect"",""x"":748,""y"":901,""width"":231,""height"":161}","{}"
set_2_0001.jpg,118811,"{}",10,4,"{""name"":""rect"",""x"":397,""y"":281,""width"":302,""height"":281}","{}"
set_2_0001.jpg,118811,"{}",10,5,"{""name"":""rect"",""x"":325,""y"":234,""width"":236,""height"":221}","{}"
set_2_0001.jpg,118811,"{}",10,6,"{""name"":""rect"",""x"":48,""y"":678,""width"":360,""height"":229}","{}"
set_2_0001.jpg,118811,"{}",10,7,"{""name"":""rect"",""x"":10,""y"":389,""width"":153,""height"":174}","{}"
set_2_0001.jpg,118811,"{}",10,8,"{""name"":""rect"",""x"":25,""y"":14,""width"":180,""height"":118}","{}"
set_2_0001.jpg,118811,"{}",10,9,"{""name"":""rect"",""x"":35,""y"":874,""width"":349,""height"":184}","{}"
set_2_0002.jpg,132167,"{}",10,0,"{""name"":""rect"",""x"":1037,""y"":589,""width"":254,""height"":232}","{}"
set_2_0002.jpg,132167,"{}",10,1,"{""name"":""rect"",""x"":351,""y"":229,""width"":198,""height"":277}","{}"
set_2_0002.jpg,132167,"{}",10,2,"{""name"":""rect"",""x"":397,""y"":306,""width"":298,""height"":273}","{}"
set_2_0002.jpg,132167,"{}",10,3,"{""name"":""rect"",""x"":1166,""y"":841,""width"":198,""height"":232}","{}"
set_2_0002.jpg,132167,"{}",10,4,"{""name"":""rect"",""x"":1006,""y"":947,""width"":194,""height"":122}","{}"
set_2_0002.jpg,132167,"{}",10,5,"{""name"":""rect"",""x"":723,""y"":880,""width"":273,""height"":186}","{}"
set_2_0002.jpg,132167,"{}",10,6,"{""name"":""rect"",""x"":120,""y"":697,""width"":300,""height"":236}","{}"
set_2_0002.jpg,132167,"{}",10,7,"{""name"":""rect"",""x"":35,""y"":897,""width"":324,""height"":161}","{}"
set_2_0002.jpg,132167,"{}",10,8,"{""name"":""rect"",""x"":6,""y"":397,""width"":114,""height"":159}","{}"
set_2_0002.jpg,132167,"{}",10,9,"{""name"":""rect"",""x"":23,""y"":23,""width"":180,""height"":103}","{}"
set_2_0003.jpg,101120,"{}",11,0,"{""name"":""rect"",""x"":451,""y"":676,""width"":244,""height"":213}","{}"
set_2_0003.jpg,101120,"{}",11,1,"{""name"":""rect"",""x"":395,""y"":271,""width"":229,""height"":229}","{}"
set_2_0003.jpg,101120,"{}",11,2,"{""name"":""rect"",""x"":382,""y"":107,""width"":296,""height"":182}","{}"
set_2_0003.jpg,101120,"{}",11,3,"{""name"":""rect"",""x"":482,""y"":8,""width"":232,""height"":107}","{}"
set_2_0003.jpg,101120,"{}",11,4,"{""name"":""rect"",""x"":1147,""y"":802,""width"":182,""height"":254}","{}"
set_2_0003.jpg,101120,"{}",11,5,"{""name"":""rect"",""x"":975,""y"":967,""width"":232,""height"":108}","{}"
set_2_0003.jpg,101120,"{}",11,6,"{""name"":""rect"",""x"":583,""y"":934,""width"":227,""height"":138}","{}"
set_2_0003.jpg,101120,"{}",11,7,"{""name"":""rect"",""x"":143,""y"":792,""width"":232,""height"":273}","{}"
